Title,Search Volume,Link,Geo Location,Type
bão yagi,28200,https://trends.google.com/trends/explore?q=b%C3%A3o%20yagi&date=2024-09-01%202024-09-12&geo=VN,VN,search_topic
cử tạ paralympics,11750,https://trends.google.com/trends/explore?q=c%E1%BB%AD%20t%E1%BA%A1%20paralympics&date=2024-09-01%202024-09-12&geo=VN,VN,search_topic
bão số 3,10350,https://trends.google.com/trends/explore?q=b%C3%A3o%20s%E1%BB%91%203&date=2024-09-01%202024-09-12&geo=VN,VN,search_topic
quần vợt xe lăn paralympics,7000,https://trends.google.com/trends/explore?q=qu%E1%BA%A7n%20v%E1%BB%A3t%20xe%20l%C4%83n%20paralympics&date=2024-09-01%202024-09-12&geo=VN,VN,search_topic
cưỡi ngựa paralympics 2024,5950,https://trends.google.com/trends/explore?q=c%C6%B0%E1%BB%A1i%20ng%E1%BB%B1a%20paralympics%202024&date=2024-09-01%202024-09-12&geo=VN,VN,search_topic
cử tạ paralympics 2024,5850,https://trends.google.com/trends/explore?q=c%E1%BB%AD%20t%E1%BA%A1%20paralympics%202024&date=2024-09-01%202024-09-12&geo=VN,VN,search_topic
môn quần vợt xe lăn tại thế vận hội dành cho người khuyết tật,5350,https://trends.google.com/trends/explore?q=m%C3%B4n%20qu%E1%BA%A7n%20v%E1%BB%A3t%20xe%20l%C4%83n%20t%E1%BA%A1i%20th%E1%BA%BF%20v%E1%BA%ADn%20h%E1%BB%99i%20d%C3%A0nh%20cho%20ng%C6%B0%E1%BB%9Di%20khuy%E1%BA%BFt%20t%E1%BA%ADt&date=2024-09-01%202024-09-12&geo=VN,VN,search_topic
thế vận hội dành cho người khuyết tật năm 2024,4050,https://trends.google.com/trends/explore?q=th%E1%BA%BF%20v%E1%BA%ADn%20h%E1%BB%99i%20d%C3%A0nh%20cho%20ng%C6%B0%E1%BB%9Di%20khuy%E1%BA%BFt%20t%E1%BA%ADt%20n%C4%83m%202024&date=2024-09-01%202024-09-12&geo=VN,VN,search_topic
bão,3550,https://trends.google.com/trends/explore?q=b%C3%A3o&date=2024-09-01%202024-09-12&geo=VN,VN,search_topic
ngày quốc khánh việt nam,3300,https://trends.google.com/trends/explore?q=ng%C3%A0y%20qu%E1%BB%91c%20kh%C3%A1nh%20vi%E1%BB%87t%20nam&date=2024-09-01%202024-09-12&geo=VN,VN,search_topic
tin bão mới nhất,3200,https://trends.google.com/trends/explore?q=tin%20b%C3%A3o%20m%E1%BB%9Bi%20nh%E1%BA%A5t&date=2024-09-01%202024-09-12&geo=VN,VN,search_topic
bão yagi mới nhất,3200,https://trends.google.com/trends/explore?q=b%C3%A3o%20yagi%20m%E1%BB%9Bi%20nh%E1%BA%A5t&date=2024-09-01%202024-09-12&geo=VN,VN,search_topic
việt nam đấu với nga,2400,https://trends.google.com/trends/explore?q=vi%E1%BB%87t%20nam%20%C4%91%E1%BA%A5u%20v%E1%BB%9Bi%20nga&date=2024-09-01%202024-09-12&geo=VN,VN,search_topic
windy,2050,https://trends.google.com/trends/explore?q=windy&date=2024-09-01%202024-09-12&geo=VN,VN,search_topic
powerlifting paralympics,1550,https://trends.google.com/trends/explore?q=powerlifting%20paralympics&date=2024-09-01%202024-09-12&geo=VN,VN,search_topic
wheelchair tennis paralympics,1500,https://trends.google.com/trends/explore?q=wheelchair%20tennis%20paralympics&date=2024-09-01%202024-09-12&geo=VN,VN,search_topic
nation league,1150,https://trends.google.com/trends/explore?q=nation%20league&date=2024-09-01%202024-09-12&geo=VN,VN,search_topic
bắn cung paralympics,900,https://trends.google.com/trends/explore?q=b%E1%BA%AFn%20cung%20paralympics&date=2024-09-01%202024-09-12&geo=VN,VN,search_topic
vietjack,350,https://trends.google.com/trends/explore?q=vietjack&date=2024-09-01%202024-09-12&geo=VN,VN,search_topic
iphone 16,250,https://trends.google.com/trends/explore?q=iphone%2016&date=2024-09-01%202024-09-12&geo=VN,VN,search_topic
vng,150,https://trends.google.com/trends/explore?q=vng&date=2024-09-01%202024-09-12&geo=VN,VN,search_topic
vnedu,150,https://trends.google.com/trends/explore?q=vnedu&date=2024-09-01%202024-09-12&geo=VN,VN,search_topic
smas,140,https://trends.google.com/trends/explore?q=smas&date=2024-09-01%202024-09-12&geo=VN,VN,search_topic
paralympics,140,https://trends.google.com/trends/explore?q=paralympics&date=2024-09-01%202024-09-12&geo=VN,VN,search_topic
m88,110,https://trends.google.com/trends/explore?q=m88&date=2024-09-01%202024-09-12&geo=VN,VN,search_topic
