id,name,created_at,due_at,points_possible
45581039,TIP Online Project (Process Mapping - Adult AOC,2024-04-09T17:39:45Z,,
45581071,TIP Online Project (Process Mapping) - Peds AOC,2024-04-09T17:40:52Z,2024-07-01T05:59:59Z,10.0
45581085,TIP Online Project (Process Mapping) - Justice AOC,2024-04-09T17:41:14Z,2024-07-01T05:59:59Z,10.0
44604807,TIP Online Project (Project Charter) - Adult AOC,2024-03-07T20:38:29Z,,0.0
44946565,TIP Online Project (Project Charter) - Peds AOC,2024-03-18T19:33:40Z,,0.0
44946566,TIP Online Project (Project Charter) - Justice AOC,2024-03-18T19:33:43Z,,0.0
49927006,TIP Online Project (Project Charter) - Justice AOC Copy,2024-09-23T17:14:11Z,,0.0
45581048,TIP Online Project (Process Mapping) - Adult AOC,2024-04-09T17:40:05Z,,0.0
45581224,TIP Online Project (Process Mapping) - Peds AOC,2024-04-09T17:47:37Z,,0.0
45581228,TIP Online Project (Process Mapping) - Justice AOC,2024-04-09T17:47:55Z,,0.0
45610473,TIP Online Project (Root Cause Analysis) - Adult AOC,2024-04-10T15:48:19Z,,0.0
45610525,TIP Online Project (Root Cause Analysis) - Peds AOC,2024-04-10T15:51:39Z,,0.0
45610527,TIP Online Project (Root Cause Analysis) - Justice AOC,2024-04-10T15:51:42Z,,0.0
45610565,TIP Online Project (PDSA Cycle) - Adult AOC,2024-04-10T15:53:15Z,,0.0
45610635,TIP Online Project (PDSA Cycle) - Peds AOC,2024-04-10T15:55:54Z,,0.0
45610637,TIP Online Project (PDSA Cycle) - Justice AOC,2024-04-10T15:55:58Z,,0.0
50744748,"TIP Online Project (Project Charter) - Adult AOC, 2024 Q4",2024-10-31T19:04:57Z,,0.0
50744760,TIP Online Project (Project Charter) - Peds AOC 2024 Q4,2024-10-31T19:06:37Z,,0.0
50744762,TIP Online Project (Project Charter) - Justice AOC 2024 Q4,2024-10-31T19:06:52Z,,0.0
50744763,TIP Online Project (Process Mapping) - Adult AOC 2024 Q4,2024-10-31T19:06:57Z,,0.0
50744765,TIP Online Project (Process Mapping) - Peds AOC 2024 Q4,2024-10-31T19:07:01Z,,0.0
50744767,TIP Online Project (Process Mapping) - Justice AOC 2024 Q4,2024-10-31T19:07:05Z,,0.0
52467103,"TIP Online Project (Root Cause Analysis) - Adult AOC, 2025 Q1",2025-01-16T22:39:00Z,,0.0
52467104,"TIP Online Project (Root Cause Analysis) - Peds AOC, 2025 Q1",2025-01-16T22:39:22Z,,0.0
52467118,"TIP Online Project (Root Cause Analysis) - Justice AOC, 2025 Q1",2025-01-16T22:40:15Z,,0.0
52467122,"TIP Online Project (PDSA Cycle) - Adult AOC, 2025 Q1",2025-01-16T22:40:32Z,,0.0
52467123,"TIP Online Project (PDSA Cycle) - Peds AOC, 2025 Q1",2025-01-16T22:40:35Z,,0.0
52467125,"TIP Online Project (PDSA Cycle) - Justice AOC, 2025 Q1",2025-01-16T22:40:43Z,,0.0
